gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,256,3392,6144,ck,18,0,30.6912,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,347.67,786.87,0.0
gfx942,304,272,3392,6144,ck,18,0,38.0977,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,297.58,639.33,0.0
gfx942,304,288,3392,6144,ck,18,0,37.8423,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,317.21,649.11,0.0
gfx942,304,304,3392,6144,ck,18,0,38.7027,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,327.39,640.02,0.0
gfx942,304,320,3392,6144,ck,18,0,34.7765,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,383.53,718.23,0.0
gfx942,304,336,3392,6144,ck,3,0,47.8796,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,292.5,525.99,0.0
gfx942,304,352,3392,6144,ck,3,0,48.1451,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,304.74,527.39,0.0
gfx942,304,368,3392,6144,ck,3,0,48.5543,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,315.91,527.2,0.0
gfx942,304,384,3392,6144,ck,3,0,47.8061,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,334.8,539.78,0.0
gfx942,304,400,3392,6144,ck,2,0,51.5475,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,323.44,504.62,0.0
gfx942,304,416,3392,6144,ck,2,0,53.1532,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,326.21,493.26,0.0
gfx942,304,432,3392,6144,ck,2,0,52.0657,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,345.84,507.54,0.0
gfx942,304,448,3392,6144,ck,2,0,53.2411,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,350.73,500.22,0.0
gfx942,304,464,3392,6144,ck,2,0,52.5664,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,367.91,510.57,0.0
